N,time
100,5
50100,8
100100,8
150100,8
200100,9
250100,8
300100,9
350100,10
400100,9
450100,9
500100,9
550100,9
600100,9
650100,9
700100,9
750100,9
800100,10
850100,9
900100,9
950100,9
1000100,10
