N,time
100,6
50100,9
100100,9
150100,9
200100,9
250100,9
300100,10
350100,9
400100,9
450100,9
500100,9
550100,10
600100,9
650100,10
700100,10
750100,9
800100,10
850100,10
900100,9
950100,10
1000100,10
